Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
China Guangdong,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Guangxi,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Guizhou,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Hainan,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Hebei,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Heilongjiang,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Henan,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Hong Kong,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Hubei,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Hunan,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
